id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year_found
33939382,Greenlake Area Home - SeaFair Weekend Destination!,13871216,Andria,Greenwood,47.69326,-122.34548,Entire home/apt,244,2,12,8/15/2019,3.91,2,330,2019
33940567,Stunning Belltown Studio near Everything,48005494,Zeus,Belltown,47.61467,-122.34601,Entire home/apt,100,30,0,,,156,359,2019
33941434,"Modern corner condo with city views, shared hot tub and pool!",138924514,Vacasa Washington,Belltown,47.61547,-122.34872,Entire home/apt,192,1,1,8/2/2019,1,38,339,2019
33946192,4-Bedroom House Next to Green Lake,60161696,Ning,Green Lake,47.67338,-122.33006,Entire home/apt,223,3,11,8/11/2019,3.93,1,58,2019
33961254,Relax in Capitol Hill with amazing Seattle views.,254786010,Alex,Broadway,47.62686,-122.31725,Entire home/apt,140,1,1,8/15/2019,1,1,14,2019
33962381,Lower Level Basement Suite in Great Location!,256449813,Shauna,Maple Leaf,47.69363,-122.32424,Entire home/apt,65,1,25,8/15/2019,6.64,1,77,2019
33979465,New Listing! Urban Townhouse - 6 Miles to Downtown,140236800,TurnKey Vacation Rentals,Lawton Park,47.6611,-122.40152,Entire home/apt,156,2,0,,,52,339,2019
33988269,Elegant Queen Anne 2 Bdrms Apt with Parking & View,253535695,Alex,North Queen Anne,47.64953,-122.37429,Entire home/apt,225,1,10,7/27/2019,3.9,1,160,2019
33996551,Space Needle view condo in vibrant Capitol Hill,3777847,Linda,Broadway,47.61686,-122.32312,Entire home/apt,180,5,0,,,1,35,2019
33997836,Studio Apartment in Seattle,48005494,Zeus,Belltown,47.61666,-122.35277,Entire home/apt,100,30,0,,,156,341,2019
34002012,Beautiful Historic Loft: Open Concept,39631451,Renee,Pioneer Square,47.59844,-122.33438,Shared room,56,1,7,6/21/2019,2.06,1,59,2019
34015495,"Lovely, cozy in-city setting, dogs welcome.",85661587,Wendy,Madrona,47.61689,-122.29064,Entire home/apt,179,2,0,,,2,136,2019
34020973,~Armimi BnB~,152273641,Vivien,Mid-Beacon Hill,47.55814,-122.30931,Private room,59,7,2,7/5/2019,0.7,4,325,2019
34021289,The House on Admiral,198318816,Mayra,North Admiral,47.58148,-122.38192,Entire home/apt,130,2,15,8/5/2019,3.98,1,93,2019
34022300,Garden Studio in Heart of Downtown Seattle,74305,Seattle Oasis,Belltown,47.61635,-122.34872,Entire home/apt,119,2,14,8/6/2019,3.65,53,142,2019
34022561,Waterfront Townhouse in the Heart of Ballard,256057103,Wendy,West Woodland,47.66612,-122.37046,Private room,73,2,4,5/25/2019,1.14,2,0,2019
34023832,Spacious gem on Capitol Hill-fun at your door step,217934778,Kory,Stevens,47.62399,-122.31185,Private room,128,1,1,4/28/2019,0.27,1,105,2019
34027629,Perfect Capitol Hill Location -The Mellow Mod Pad,46342581,Caroline,Broadway,47.62166,-122.31468,Entire home/apt,98,1,14,8/13/2019,3.78,2,48,2019
34037427,"W Seattle 180 degree Puget Sound view, 1 br/1 bath",2823295,David,North Admiral,47.57097,-122.40277,Private room,56,3,4,7/1/2019,1.18,1,0,2019
34055357,Spacious and Unique Queen Anne Private Studio Apt,26967583,Dario,West Queen Anne,47.63762,-122.36855,Entire home/apt,97,1,10,7/16/2019,4.55,143,350,2019
